Date,Open,High,Low,Close,Volume
2/1/2020,74.06,75.15,73.8,75.09,33911864
3/1/2020,74.29,75.15,74.13,74.36,36633878
6/1/2020,73.45,74.99,73.19,74.95,29644644
7/1/2020,74.96,75.22,74.37,74.6,27877655
8/1/2020,74.29,76.11,74.29,75.8,33090946
9/1/2020,76.81,77.61,76.55,77.41,42621542
10/1/2020,77.65,78.17,77.06,77.58,35217272
13/1/2020,77.91,79.27,77.79,79.24,30521722
14/1/2020,79.18,79.39,78.04,78.17,40653457
15/1/2020,77.96,78.88,77.39,77.83,30480882
16/1/2020,78.4,78.93,78.02,78.81,27207254
17/1/2020,79.07,79.69,78.75,79.68,34454117
21/1/2020,79.3,79.76,79,79.14,27710814
22/1/2020,79.65,80,79.33,79.43,25458115
23/1/2020,79.48,79.89,78.91,79.81,26117993
24/1/2020,80.06,80.83,79.38,79.58,36634380
27/1/2020,77.52,77.94,76.22,77.24,40485005
28/1/2020,78.15,79.6,78.05,79.42,40558486
29/1/2020,81.11,81.96,80.35,81.08,54149928
30/1/2020,80.14,81.02,79.69,80.97,31685808
31/1/2020,80.23,80.67,77.07,77.38,49897096
3/2/2020,76.08,78.37,75.56,77.17,43496401
4/2/2020,78.83,79.91,78.41,79.71,34154134
5/2/2020,80.88,81.19,79.74,80.36,29706718
6/2/2020,80.64,81.31,80.07,81.3,26356385
7/2/2020,80.59,80.85,79.5,80.01,29421012
10/2/2020,78.55,80.39,78.46,80.39,27337215
11/2/2020,80.9,80.97,79.68,79.9,23580780
12/2/2020,80.37,81.81,80.37,81.8,28432573
13/2/2020,81.05,81.56,80.84,81.22,23686892
14/2/2020,81.19,81.5,80.71,81.24,20028447
18/2/2020,78.84,79.94,78.65,79.75,38190545
19/2/2020,80,81.14,80,80.91,23495991
20/2/2020,80.66,81.16,79.55,80.08,25141489
21/2/2020,79.66,80.11,77.63,78.26,32426415
24/2/2020,74.32,76.05,72.31,74.55,55548828
25/2/2020,75.24,75.63,71.53,72.02,57668364
26/2/2020,71.63,74.47,71.63,73.16,49678431
27/2/2020,70.28,71.5,68.24,68.38,80151381
28/2/2020,64.32,69.6,64.09,68.34,106721230
2/3/2020,70.57,75.36,69.43,74.7,85349339
3/3/2020,75.92,76,71.45,72.33,79868852
4/3/2020,74.11,75.85,73.28,75.69,54794568
5/3/2020,73.88,74.89,72.85,73.23,46893219
6/3/2020,70.5,72.71,70.31,72.26,56544246
9/3/2020,65.94,69.52,65.75,66.54,71686208
10/3/2020,69.29,71.61,67.34,71.33,71322520
11/3/2020,69.35,70.31,67.97,68.86,64094970
12/3/2020,63.99,67.5,62,62.06,104618517
13/3/2020,66.22,69.98,63.24,69.49,92683032
16/3/2020,60.49,64.77,60,60.55,80605865
17/3/2020,61.88,64.4,59.6,63.22,81013965
18/3/2020,59.94,62.5,59.28,61.67,75058406
19/3/2020,61.85,63.21,60.65,61.2,67964255
20/3/2020,61.8,62.96,57,57.31,100423346
23/3/2020,57.02,57.12,53.15,56.09,84188208
24/3/2020,59.09,61.92,58.58,61.72,71882773
25/3/2020,62.69,64.56,61.08,61.38,75900510
26/3/2020,61.63,64.67,61.59,64.61,63140169
27/3/2020,63.19,63.97,61.76,61.94,51054153
30/3/2020,62.69,63.88,62.35,63.7,41994110
31/3/2020,63.9,65.62,63,63.57,49250501
1/4/2020,61.63,62.18,59.78,60.23,44054638
2/4/2020,60.09,61.29,59.23,61.23,41483493
3/4/2020,60.7,61.43,59.74,60.35,32470017
6/4/2020,62.73,65.78,62.35,65.62,50455071
7/4/2020,67.7,67.93,64.75,64.86,50721831
8/4/2020,65.69,66.84,65.31,66.52,42223821
9/4/2020,67.18,67.52,66.18,67,40529123
13/4/2020,67.08,68.43,66.46,68.31,32755731
14/4/2020,70,72.06,69.51,71.76,48748672
15/4/2020,70.6,71.58,70.16,71.11,32788641
16/4/2020,71.85,72.05,70.59,71.67,39281290
17/4/2020,71.17,71.74,69.22,70.7,53812478
20/4/2020,69.49,70.42,69.21,69.23,32503750
21/4/2020,69.07,69.31,66.36,67.09,45247893
22/4/2020,68.4,69.47,68.05,69.03,29264342
23/4/2020,68.97,70.44,68.72,68.76,31203582
24/4/2020,69.3,70.75,69.25,70.74,31627183
27/4/2020,70.45,71.14,69.99,70.79,29271893
28/4/2020,71.27,71.46,69.55,69.65,28001187
29/4/2020,71.18,72.42,70.97,71.93,34320204
30/4/2020,72.49,73.63,72.09,73.45,45765968
1/5/2020,71.56,74.75,71.46,72.27,60154175
4/5/2020,72.29,73.42,71.58,73.29,33391986
5/5/2020,73.77,75.25,73.61,74.39,36937795
6/5/2020,75.11,75.81,74.72,75.16,35583438
7/5/2020,75.81,76.29,75.49,75.94,28803764
8/5/2020,76.41,77.59,76.07,77.53,33511985
11/5/2020,77.03,79.26,76.81,78.75,36486561
12/5/2020,79.46,79.92,77.73,77.85,40575263
13/5/2020,78.04,78.99,75.8,76.91,50155639
14/5/2020,76.13,77.45,75.38,77.39,39732269
15/5/2020,75.09,76.97,75.05,76.93,41587094
18/5/2020,78.29,79.13,77.58,78.74,33843125
19/5/2020,78.76,79.63,78.25,78.29,25432385
20/5/2020,79.17,79.88,79.05,79.81,27876215
21/5/2020,79.67,80.22,78.97,79.21,25672211
22/5/2020,78.94,79.81,78.84,79.72,20450754
26/5/2020,80.88,81.06,79.13,79.18,31380454
27/5/2020,79.04,79.68,78.27,79.53,28236274
28/5/2020,79.19,80.86,78.91,79.56,33449103
29/5/2020,79.81,80.29,79.12,79.49,38399532
1/6/2020,79.44,80.59,79.3,80.46,20254653
2/6/2020,80.19,80.86,79.73,80.83,21910704
3/6/2020,81.17,81.55,80.58,81.28,26122804
4/6/2020,81.1,81.41,80.19,80.58,21890091
5/6/2020,80.84,82.94,80.81,82.88,34312550
8/6/2020,82.56,83.4,81.83,83.37,23913634
9/6/2020,83.04,86.4,83,86,36928091
10/6/2020,86.98,88.69,86.52,88.21,41662938
11/6/2020,87.33,87.77,83.87,83.98,50415613
12/6/2020,86.18,86.95,83.56,84.7,50036513
15/6/2020,83.31,86.42,83.15,85.75,34702230
16/6/2020,87.87,88.3,86.18,88.02,41357182
17/6/2020,88.79,88.85,87.77,87.9,28601626
18/6/2020,87.85,88.36,87.31,87.93,24205096
19/6/2020,88.66,89.14,86.29,87.43,66118952
22/6/2020,87.84,89.87,87.79,89.72,33861316
23/6/2020,91,93.1,90.57,91.63,53038869
24/6/2020,91.25,92.2,89.63,90.02,48155849
25/6/2020,90.18,91.25,89.39,91.21,34380628
26/6/2020,91.1,91.33,88.26,88.41,51314211
29/6/2020,88.31,90.54,87.82,90.45,32661519
30/6/2020,90.02,91.5,90,91.2,35055821
1/7/2020,91.28,91.84,90.98,91.03,27684309
2/7/2020,91.96,92.62,90.91,91.03,28510367
6/7/2020,92.5,93.95,92.47,93.46,29663913
7/7/2020,93.85,94.66,93.06,93.17,28106114
8/7/2020,94.18,95.38,94.09,95.34,29272970
9/7/2020,96.26,96.32,94.67,95.68,31410652
10/7/2020,95.34,95.98,94.71,95.92,22564330
13/7/2020,97.27,99.96,95.26,95.48,47912285
14/7/2020,94.84,97.26,93.88,97.06,42747341
15/7/2020,98.99,99.25,96.49,97.73,38299483
16/7/2020,96.56,97.41,95.91,96.52,27644418
17/7/2020,96.99,97.15,95.84,96.33,23046725
20/7/2020,96.42,98.5,96.06,98.36,22579477
21/7/2020,99.17,99.25,96.74,97,25911459
22/7/2020,96.69,97.98,96.6,97.27,22250413
23/7/2020,97,97.08,92.01,92.85,49251108
24/7/2020,90.99,92.97,89.15,92.62,46359716
27/7/2020,93.71,94.91,93.48,94.81,30303548
28/7/2020,94.37,94.55,93.25,93.25,25906375
29/7/2020,93.75,95.23,93.71,95.04,22582314
30/7/2020,94.19,96.3,93.77,96.19,39532505
31/7/2020,102.88,106.42,100.83,106.26,93573867
3/8/2020,108.2,111.64,107.89,108.94,77037847
4/8/2020,109.13,110.79,108.39,109.67,43198092
5/8/2020,109.38,110.39,108.9,110.06,30497988
6/8/2020,110.41,114.41,109.8,113.9,50607225
7/8/2020,113.21,113.68,110.29,111.11,49511403
10/8/2020,112.6,113.78,110,112.73,53100856
11/8/2020,111.97,112.48,109.11,109.38,46975594
12/8/2020,110.5,113.28,110.3,113.01,41486205
13/8/2020,114.43,116.04,113.93,115.01,52520516
14/8/2020,114.83,115,113.05,114.91,41391302
17/8/2020,116.06,116.09,113.96,114.61,29890361
18/8/2020,114.35,116,114.01,115.56,26408385
19/8/2020,115.98,117.16,115.61,115.71,36384502
20/8/2020,115.75,118.39,115.73,118.28,31726797
21/8/2020,119.26,124.87,119.25,124.37,84513660
24/8/2020,128.7,128.79,123.94,125.86,86484442
25/8/2020,124.7,125.18,123.05,124.83,52873947
26/8/2020,126.18,126.99,125.08,126.52,40755567
27/8/2020,127.14,127.49,123.83,125.01,38888096
28/8/2020,126.01,126.44,124.58,124.81,46907479
31/8/2020,127.58,131,126,129.04,225702688
1/9/2020,132.76,134.8,130.53,134.18,152470142
2/9/2020,137.59,137.98,127,131.4,200118991
3/9/2020,126.91,128.84,120.5,120.88,257599640
4/9/2020,120.07,123.7,110.89,120.96,332607163
8/9/2020,113.95,118.99,112.68,112.82,231366563
9/9/2020,117.26,119.14,115.26,117.32,176940455
10/9/2020,120.36,120.5,112.5,113.49,182274391
11/9/2020,114.57,115.23,110,112,180860325
14/9/2020,114.72,115.93,112.8,115.36,140150087
15/9/2020,118.33,118.83,113.61,115.54,184642039
16/9/2020,115.23,116,112.04,112.13,155026675
17/9/2020,109.72,112.2,108.71,110.34,178010968
18/9/2020,110.4,110.88,106.09,106.84,287104882
21/9/2020,104.54,110.19,103.1,110.08,195713815
22/9/2020,112.68,112.86,109.16,111.81,183055373
23/9/2020,111.62,112.11,106.77,107.12,150718671
24/9/2020,105.17,110.25,105,108.22,167743349
25/9/2020,108.43,112.44,107.67,112.28,149981441
28/9/2020,115.01,115.32,112.78,114.96,137672403
29/9/2020,114.55,115.31,113.57,114.09,100060526
30/9/2020,113.79,117.26,113.62,115.81,142675184
1/10/2020,117.64,117.72,115.83,116.79,116120440
2/10/2020,112.89,115.37,112.22,113.02,144711986
5/10/2020,113.91,116.65,113.55,116.5,106243839
6/10/2020,115.7,116.12,112.25,113.16,161498212
7/10/2020,114.62,115.55,114.13,115.08,96848985
8/10/2020,116.25,116.4,114.59,114.97,83477153
9/10/2020,115.28,117,114.92,116.97,100506865
12/10/2020,120.06,125.18,119.28,124.4,240226769
13/10/2020,125.27,125.39,119.65,121.1,262330451
14/10/2020,121,123.03,119.62,121.19,151062308
15/10/2020,118.72,121.2,118.15,120.71,112559219
16/10/2020,121.28,121.55,118.81,119.02,115393808
19/10/2020,119.96,120.42,115.66,115.98,120639337
20/10/2020,116.2,118.98,115.63,117.51,124423728
21/10/2020,116.67,118.71,116.45,116.87,89945980
22/10/2020,117.45,118.04,114.59,115.75,101987954
23/10/2020,116.39,116.55,114.28,115.04,82572645
26/10/2020,114.01,116.55,112.88,115.05,111850657
27/10/2020,115.49,117.28,114.54,116.6,92276772
28/10/2020,115.05,115.43,111.1,111.2,143937823
29/10/2020,112.37,116.93,112.2,115.32,146129173
30/10/2020,111.06,111.99,107.72,108.86,190573476
2/11/2020,109.11,110.68,107.32,108.77,122866899
3/11/2020,109.66,111.49,108.73,110.44,107624448
4/11/2020,114.14,115.59,112.35,114.95,138235482
5/11/2020,117.95,119.62,116.87,119.03,126387074
6/11/2020,118.32,119.2,116.13,118.69,114457922
9/11/2020,120.5,121.99,116.05,116.32,154515315
10/11/2020,115.55,117.59,114.13,115.97,138023390
11/11/2020,117.19,119.63,116.44,119.49,112294954
12/11/2020,119.62,120.53,118.57,119.21,103350674
13/11/2020,119.44,119.67,117.87,119.26,81688586
16/11/2020,118.92,120.99,118.15,120.3,91183018
17/11/2020,119.55,120.67,118.96,119.39,74270973
18/11/2020,118.61,119.82,118,118.03,76322111
19/11/2020,117.59,119.06,116.81,118.64,74112972
20/11/2020,118.64,118.77,117.29,117.34,73604287
23/11/2020,117.18,117.62,113.75,113.85,127959318
24/11/2020,113.91,115.85,112.59,115.17,113874218
25/11/2020,115.55,116.75,115.17,116.03,76499234
27/11/2020,116.57,117.49,116.22,116.59,46691331
30/11/2020,116.97,120.97,116.81,119.05,169410176
1/12/2020,121.01,123.47,120.01,122.72,128166803
2/12/2020,122.02,123.37,120.89,123.08,89004195
3/12/2020,123.52,123.78,122.21,122.94,78967630
4/12/2020,122.6,122.86,121.52,122.25,78260421
7/12/2020,122.31,124.57,122.25,123.75,86711990
8/12/2020,124.37,124.98,123.09,124.38,82225512
9/12/2020,124.53,125.95,121,121.78,115089193
10/12/2020,120.5,123.87,120.15,123.24,81312170
11/12/2020,122.43,122.76,120.55,122.41,86939786
14/12/2020,122.6,123.35,121.54,121.78,79075988
15/12/2020,124.34,127.9,124.13,127.88,157572262
16/12/2020,127.41,128.37,126.56,127.81,98208591
17/12/2020,128.9,129.58,128.04,128.7,94359811
18/12/2020,128.96,129.1,126.12,126.66,192541496
21/12/2020,125.02,128.31,123.45,128.23,121251553
22/12/2020,131.61,134.41,129.65,131.88,169351825
23/12/2020,132.16,132.43,130.78,130.96,88223692
24/12/2020,131.32,133.46,131.1,131.97,54930064
28/12/2020,133.99,137.34,133.51,136.69,124486237
29/12/2020,138.05,138.79,134.34,134.87,121047324
